condition,attention_prefrontal,attention_frontal,attention_frontocentral,attention_temporal,attention_parietal,attention_occipital
high,0.1343494273480904,0.27208305668780824,0.14285078067571697,0.1637812983722905,0.11463971472916884,0.17229572218692507
rest,0.13854942392596223,0.2751439955213123,0.1390927092009778,0.15228648414412949,0.14647588966913125,0.14845149753848697
