condition,attention_af3,attention_f7,attention_f3,attention_fc5,attention_t7,attention_p7,attention_o1,attention_o2,attention_p8,attention_t8,attention_fc6,attention_f4,attention_f8,attention_af4
high,0.06575704179916075,0.0637547091951282,0.06070163370664706,0.058492346966264014,0.07248508975170205,0.04851480568723425,0.07715417026873869,0.09514155191818635,0.06612490904193458,0.09129620862058845,0.08435843370945298,0.0656632110345072,0.08196350275152577,0.06859238554892967
rest,0.06872549910397596,0.06791666184499574,0.0701270751869599,0.0707588167743702,0.07906660248766668,0.07424254223794104,0.07404843349178125,0.07440306404670569,0.07223334743119021,0.07321988165646279,0.0683338924266076,0.06942553680404745,0.06767472168530923,0.06982392482198625
