time,phase_A,phase_B,phase_C
0.0,0.0,2.0,4.0
0.01,0.025158738555281925,2.0039256205853944,4.001115640859323
0.02,0.05055381770034572,2.0076926211955946,4.002153561104059
0.03,0.07618251781479063,2.0113058151690417,4.003111667016167
0.04,0.10204154085758405,2.014770661398196,4.0039877977442195
0.05,0.1281269968967073,2.0180932753282126,4.00477972777508
0.06,0.15443439394045647,2.0212804362177303,4.005485169841814
0.07,0.1809586314186833,2.0243395903015555,4.006101778279762
0.08,0.2076939976391968,2.0272788495202287,4.006627152840575
0.09,0.23463417151282626,2.0301069855155176,4.007058842971657
0.1,0.26177222880011286,2.0328334186338517,4.0073943525660365
0.11,0.28910065308334876,2.0354682017315056,4.0076311451851465
0.12,0.316611351610109,2.0380219986354966,4.007766649754395
0.13,0.34429567608922645,2.0405060571819655,4.007798266728809
0.14,0.3721444484483631,2.042932176828169,4.007723374723469
0.15,0.40014799148527097,2.0453126709137814,4.0075393376009485
0.16,0.4282961642641415,2.047660323730282,4.007243512005577
0.17,0.4565784020259989,2.049988342641905,4.006833255332097
0.18,0.4849837602999914,2.0523103055858,4.006305934114209
0.19,0.5135009628228923,2.054640104360509,4.0056589328165995
0.2,0.5421184527994148,2.056991884188257,4.004889663012329
0.21,0.5708244469683088,2.0593799801057115,4.00399557292598
0.22,0.5996069918807396,2.0618188507976645,4.002974157321597
0.23,0.6284540217500465,2.064323010536665,4.00182296771329
0.24,0.6573534171971873,2.0669069599274854,4.000539622875328
0.25,0.6862930641952087,2.069585116177252,3.99912181962754
0.26,0.7152609125096613,2.072371743619444,3.9975673438708954
0.27,0.7442450329402845,2.0752808852125653,3.995874081847151
0.28,0.773233672692288,2.078326295712355,3.994040031595358
0.29,0.8022153082424353,2.0815213771807914,3.9920633145767748
0.3,0.8311786951147472,2.08487911744696,3.9899421874382943
0.31,0.8601129140414167,2.0884120320758184,3.9876750538827666
0.32,0.8890074130545887,2.0921321103328347,3.985260476612578
0.33,0.9178520451319007,2.0960507655576164,3.9826971893104846
0.34,0.9466371011008211,2.100178790280208,3.9799841086189724
0.35000000000000003,0.9753533375915779,2.104526316332083,3.9771203460763407
0.36,1.0039919999135416,2.109102780122201,3.974105219964259
0.37,1.032544839813206,2.1139168931689905,3.970938267017805
0.38,1.0610041281514293,2.1189766179036136,3.967619253944959
0.39,1.0893626626116892,2.1242891486900204,3.964148188698292
0.4,1.1176137706183806,2.129860897944389,3.960525331437232
0.41000000000000003,1.1457513077035684,2.1356974871815573,3.956751205114876
0.42,1.1737696516113816,2.1418037427696093,3.9528266056190104
0.43,1.2016636924709665,2.1481836961361696,3.9487526113928655
0.44,1.229428819401499,2.1548405881411843,3.944530592457318
0.45,1.2570609039363387,2.161776877310738,3.9401622187529246
0.46,1.2845562806683715,2.1689942516142353,3.9356494677173948
0.47000000000000003,1.311911725525504,2.1764936434623854,3.9309946310121124
0.48,1.3391244320848554,2.1842752476049907,3.9262003203101554
0.49,1.3661919863272516,2.1923385416146335,3.9212694720581163
0.5,1.3931123402210321,2.2006823086539717,3.9162053511249977
0.51,1.419883784506838,2.209304662239514,3.91101155325365
0.52,1.446504921033818,2.2182030727324538,3.9056920062337297
0.53,1.472974634973453,2.227374395306496,3.9002509697200525
0.54,1.4992920672107155,2.236814899162753,3.894693033626533
0.55,1.5254565871843044,2.246520297782003,3.889023115033694
0.56,1.5514677664188496,2.2564857800242195,3.883246453556932
0.5700000000000001,1.5773253529628481,2.266706041903802,3.877368605133351
0.58,1.603029246917138,2.277175318885945,3.871395434196918
0.59,1.628579477210351,2.2878874185647806,3.8653331042248693
0.6,1.6539761797503274,2.298835753597145,3.8591880666525284
0.61,1.6792195770541862,2.310013374776947,3.852967048168868
0.62,1.7043099594348157,2.3214130041441954,3.8466770364209903
0.63,1.7292476677981286,2.3330270680298257,3.840325264172047
0.64,1.7540330780836133,2.344847729942729,3.8339191919736586
0.65,1.7786665873605618,2.356866923209043,3.827466489430396
0.66,1.8031486015739149,2.3690763832760484,3.820975015150038
0.67,1.827479524916935,2.3814676795942185,3.814452795488848
0.68,1.8516597507928894,2.3940322469913995,3.8079080022157124
0.6900000000000001,1.8756896543145878,2.4067614164530338,3.8013489292323794
0.7000000000000001,1.8995695862789341,2.4196464452221007,3.794783968498966
0.71,1.9232998685435736,2.432678546132308,3.7882215853241195
0.72,1.9468807907242194,2.445848916088276,3.7816702931875055
0.73,1.9703126081242535,2.459148763607247,3.7751386282685004
0.74,1.9935955408026764,2.4725693353384113,3.768635123858913
0.75,2.0167297736823593,2.486101941478417,3.7621682848392246
0.76,2.0397154575977714,2.499737980005119,3.755746562397111
0.77,2.062552711179846,2.513468959656183,3.749378329163972
0.78,2.0852416234753224,2.527286521584828,3.7430718549398505
0.79,2.107782257198702,2.541182459631683,3.7368352831696154
0.8,2.1301746525167724,2.55514873915946,3.7306766083237686
0.81,2.152418831268413,2.569177514405722,3.724603654325866
