time,feature_A,feature_B,feature_C
0.0,1.0,-0.5,0.25
0.01,0.9869018711806447,-0.4864572964204049,0.24688959102286975
0.02,0.9740261105982105,-0.4731610429137024,0.2438553707235424
0.03,0.9613688714896167,-0.4601067661231651,0.24089572412361956
0.04,0.9489263745465234,-0.44729007375197033,0.23800906826587115
0.05,0.9366949067211485,-0.43470665309597084,0.23519385160183
0.06,0.9246708200533639,-0.42235226960300326,0.23244855339085427
0.07,0.9128505305186915,-0.41022276545825564,0.22977168311044516
0.08,0.9012305168968258,-0.39831405819522203,0.2271617798776124
0.09,0.8898073196603136,-0.38662213933178224,0.22461741188108295
0.1,0.8785775398830313,-0.375143073030952,0.22213717582415224
0.11,0.8675378381681064,-0.363872994785858,0.21971969637798158
0.12,0.8566849335949325,-0.3528081101284992,0.21736362564514797
0.13,0.8460156026849392,-0.3419446933618652,0.21506764263325684
0.14,0.83552667838578,-0.33127908631498854,0.2128304527384317
0.15,0.8252150490736071,-0.32080769712051677,0.21065078723849753
0.16,0.815077657573113,-0.3105269990143972,0.20852740279567863
0.17,0.8051115001950178,-0.3004335291572743,0.206459080968635
0.18,0.7953136257906918,-0.29052388747720737,0.20444462773366384
0.19,0.7856811348236065,-0.2807947355333226,0.20248287301489695
0.2,0.7762111784573132,-0.2712427954000219,0.200572670223327
0.21,0.7669009576596529,-0.26186484857137554,0.1987128958044993
0.22,0.7577477223229082,-0.25265773488533516,0.1969024487947085
0.23,0.748748770399611,-0.24361835146740754,0.19514025038554259
0.24,0.7399014470537273,-0.23474365169343783,0.19342524349661927
0.25,0.7312031438269433,-0.22603064417115679,0.19175639235636327
0.26,0.7226512978197823,-0.21747639174015249,0.190132682090675
0.27,0.714243390887289,-0.20907801048993366,0.18855311831934451
0.28,0.7059769488490187,-0.20083266879575715,0.18701672676006714
0.29,0.697849540713077,-0.19273758637189878,0.18552255283991947
0.3,0.6898587779139586,-0.1847900333420518,0.18406966131415758
0.31,0.6820023135639379,-0.1769873293265435,0.18265713589220142
0.32,0.6742778417177707,-0.16932684254606584,0.18128407887067208
0.33,0.6666830966504669,-0.16180598894162118,0.17994961077335084
0.34,0.6592158521479022,-0.1544222313103906,0.17865286999793176
0.35000000000000003,0.6518739208100398,-0.14717307845723612,0.17739301246944122
0.36,0.6446551533665345,-0.1400560843615547,0.1761692113002011
0.37,0.6375574380045002,-0.13306884735920613,0.17498065645621344
0.38,0.6305786997082228,-0.12620900933924228,0.1738265544298478
0.39,0.6237168996106045,-0.11947425495517025,0.17270612791871373
0.4,0.6169700343561307,-0.11286231085048633,0.17161861551060376
0.41000000000000003,0.6103361354751532,-0.10637094489822295,0.17056327137439362
0.42,0.6038132687692874,-0.09999796545425506,0.16953936495678928
0.43,0.5973995337077264,-0.09374122062411726,0.16854618068481197
0.44,0.5910930628342743,-0.08759859754308724,0.16758301767391418
0.45,0.5848920211849107,-0.08156802166929579,0.16664918944162213
0.46,0.5787946057156949,-0.07564745608962758,0.1657440236266019
0.47000000000000003,0.572799044740828,-0.06983490083818171,0.16486686171304793
0.48,0.5669035973806903,-0.06412839222706462,0.16401705876029507
0.49,0.5611065530196749,-0.05852600218929254,0.16319398313755692
0.5,0.5554062307736454,-0.053025837633584386,0.1623970162636947
0.51,0.5498009789668424,-0.04762603981083014,0.16162555235192333
0.52,0.5442891746180736,-0.04232478369202351,0.1608789981593622
0.53,0.5388692229360186,-0.0371202773574516,0.16015677274134105
0.54,0.5335395568234887,-0.03201076139693799,0.15945830721037138
0.55,0.5282986363904798,-0.02699450832093931,0.15878304449969746
0.56,0.5231449484758616,-0.02206982198229911,0.1581304391313405
0.5700000000000001,0.5180770061775507,-0.017235037008466143,0.157499956988553
0.58,0.5130933483910146,-0.012488518243987962,0.15689107509260045
0.59,0.5081925393559581,-0.007828660203093907,0.15630328138378977
0.6,0.503373168211047,-0.0032538865321850435,0.15573607450666557
0.61,0.4986338485565252,0.0012373505179481166,0.1551889635992957
0.62,0.49397321802458405,0.005646570610356054,0.15466146808657044
0.63,0.4893899378573467,0.00997526583078159,0.15415311747743982
0.64,0.4848826924923304,0.014224901187301773,0.15366345116601593
0.65,0.48045018915525467,0.018396915100926857,0.1531920182364677
0.66,0.4760911574600631,0.022492719887319948,0.15273837727163722
0.67,0.4718043490160312,0.026513702229797875,0.1523020961653084
0.68,0.46758853704183345,0.030461223643771032,0.15188275193805925
0.6900000000000001,0.46344251598644565,0.034336620932776965,0.15147993055663092
0.7000000000000001,0.4593651011567603,0.0381412066362598,0.1510932267567478
0.71,0.45535512835179653,0.04187626946924479,0.15072224386932387
0.72,0.4514114535033853,0.04554307475405456,0.15036659364999225
0.73,0.44753295232321605,0.049142864844210994,0.15002589611189523
0.74,0.44371851995613076,0.052676859540664166,0.14969977936167433
0.75,0.43996707063955387,0.05614625650048698,0.14938787943859994
0.76,0.4362775373689493,0.05955223163817192,0.1490898401567819
0.77,0.4326488715691968,0.06289593951966367,0.14880531295040345
0.78,0.4290800427717822,0.06617851374925895,0.14853395672192152
0.79,0.42557003829769846,0.06940106734950272,0.1482754376931781
0.8,0.4221178629459551,0.07256469313420726,0.14802942925936785
0.81,0.4187225386875967,0.0756704640747187,0.14779561184580828
0.8200000000000001,0.4153831043651318,0.078719433659553,0.14757367276746045
0.8300000000000001,0.41209861539727694,0.08171263624752143,0.14736330609114778
0.84,0.4088681434889195,0.08465108741446323,0.14716421250042303
0.85,0.40569077634620826,0.08753578429370118,0.14697609916303309
0.86,0.4025656173966791,0.09036770591033351,0.14679867960093343
0.87,0.39949178551432674,0.09314781350947382,0.14663167356280374
0.88,0.3964684147495343,0.09587705087854827,0.14647480689901796
0.89,0.3934946540637747,0.09855634466375778,0.14632781143902276
0.9,0.39056966706899804,0.10118660468081057,0.14619042487107883
